,accession,label
0,YP_009788086.1,baseplate
1,NP_700395.1,baseplate
2,YP_009966714.1,baseplate
3,YP_009948863.1,baseplate
4,YP_009831400.1,baseplate
5,YP_009831494.1,baseplate
6,YP_009831120.1,baseplate
7,YP_009831212.1,baseplate
8,YP_009876391.1,baseplate
9,YP_009834655.1,baseplate
10,YP_009877639.1,baseplate
11,YP_009834889.1,baseplate
12,YP_009879447.1,baseplate
13,YP_009796307.1,baseplate
14,YP_009796521.1,baseplate
15,YP_009879807.1,baseplate
16,YP_009798832.1,baseplate
17,YP_009880602.1,baseplate
18,YP_009881343.1,baseplate
19,YP_009881144.1,baseplate
20,YP_009883600.1,baseplate
21,YP_009849886.1,baseplate
22,YP_009889912.1,baseplate
23,YP_009883160.1,baseplate
24,YP_009884007.1,baseplate
25,YP_009855586.1,baseplate
26,YP_009889482.1,baseplate
27,YP_009888259.1,baseplate
28,YP_009887848.1,baseplate
29,YP_009888662.1,baseplate
30,YP_009888052.1,baseplate
31,YP_009888464.1,baseplate
32,YP_009887665.1,baseplate
33,YP_009889271.1,baseplate
34,YP_009888869.1,baseplate
35,YP_009889074.1,baseplate
36,YP_009887473.1,baseplate
37,YP_010089022.1,baseplate
38,YP_010089109.1,baseplate
39,YP_010092932.1,baseplate
40,YP_010092934.1,baseplate
41,YP_010092937.1,baseplate
42,YP_010092938.1,baseplate
43,YP_010092947.1,baseplate
44,YP_010092948.1,baseplate
45,YP_010107262.1,baseplate
46,YP_010107271.1,baseplate
47,YP_010106722.1,baseplate
48,YP_010106803.1,baseplate
49,YP_009882215.1,baseplate
50,YP_010067336.1,baseplate
51,YP_010067339.1,baseplate
52,YP_010067070.1,baseplate
53,NP_758923.1,baseplate
54,YP_009782920.1,baseplate
55,YP_004306392.1,baseplate
56,YP_009778990.1,baseplate
57,YP_009779204.1,baseplate
58,YP_009779419.1,baseplate
59,YP_009778162.1,baseplate
60,YP_009778449.1,baseplate
61,YP_009778735.1,baseplate
62,YP_009099586.1,baseplate
63,YP_009785002.1,baseplate
64,YP_009785114.1,baseplate
65,YP_009785160.1,baseplate
66,YP_010073179.1,baseplate
67,YP_010073182.1,baseplate
68,YP_009876073.1,baseplate
69,YP_010076805.1,baseplate
70,YP_010076802.1,baseplate
71,YP_010089475.1,baseplate
72,YP_010089478.1,baseplate
73,YP_010089520.1,baseplate
74,YP_010133101.1,baseplate
75,YP_009832075.1,baseplate
76,YP_009789813.1,baseplate
77,YP_009789848.1,baseplate
78,YP_010090027.1,baseplate
79,YP_010090030.1,baseplate
80,YP_010090625.1,baseplate
81,YP_010090626.1,baseplate
82,YP_010090338.1,baseplate
83,YP_009790730.1,baseplate
84,YP_010092346.1,baseplate
85,YP_009790848.1,baseplate
86,YP_009618995.1,baseplate
87,YP_009618998.1,baseplate
88,YP_009619119.1,baseplate
89,YP_010076386.1,baseplate
90,YP_010076389.1,baseplate
91,YP_010067872.1,baseplate
92,YP_010068426.1,baseplate
93,YP_010075084.1,baseplate
94,YP_010077074.1,baseplate
95,YP_010091495.1,baseplate
96,YP_010091224.1,baseplate
97,YP_010093616.1,baseplate
98,YP_010093617.1,baseplate
99,YP_009836900.1,baseplate
100,YP_009836903.1,baseplate
101,YP_010065251.1,baseplate
102,YP_010065248.1,baseplate
103,YP_010069209.1,baseplate
104,YP_010069212.1,baseplate
105,YP_010090871.1,baseplate
106,YP_010090902.1,baseplate
107,YP_010094073.1,baseplate
108,YP_010095150.1,baseplate
109,YP_010095154.1,baseplate
110,YP_010094226.1,baseplate
111,YP_010094501.1,baseplate
112,YP_010066464.1,baseplate
113,YP_010066467.1,baseplate
114,YP_010094756.1,baseplate
115,YP_010072200.1,baseplate
116,YP_010072203.1,baseplate
117,YP_010071660.1,baseplate
118,YP_010071663.1,baseplate
119,YP_010096168.1,baseplate
120,YP_010096171.1,baseplate
121,YP_010096255.1,baseplate
122,YP_009880933.1,baseplate
123,YP_009880968.1,baseplate
124,YP_009881503.1,baseplate
125,YP_009881538.1,baseplate
126,YP_010072862.1,baseplate
127,YP_010098494.1,baseplate
128,YP_010077180.1,baseplate
129,YP_009879877.1,baseplate
130,YP_010067604.1,baseplate
131,YP_010067607.1,baseplate
132,YP_009816618.1,baseplate
133,YP_010100331.1,baseplate
134,YP_010100514.1,baseplate
135,YP_009882725.1,baseplate
136,YP_009882662.1,baseplate
137,YP_009882630.1,baseplate
138,YP_009882580.1,baseplate
139,YP_009882447.1,baseplate
140,YP_010101750.1,baseplate
141,YP_010068095.1,baseplate
142,YP_010068098.1,baseplate
143,YP_009845793.1,baseplate
144,YP_009850382.1,baseplate
145,YP_009850542.1,baseplate
146,YP_010075993.1,baseplate
147,YP_010075996.1,baseplate
148,YP_010076275.1,baseplate
149,YP_009850033.1,baseplate
150,YP_009883870.1,baseplate
151,YP_009883911.1,baseplate
152,YP_009883912.1,baseplate
153,YP_009884900.1,baseplate
154,YP_009887153.1,baseplate
155,YP_009887187.1,baseplate
156,YP_010077427.1,baseplate
157,YP_010077424.1,baseplate
158,YP_010068953.1,baseplate
159,YP_010074107.1,baseplate
160,YP_010074390.1,baseplate
161,YP_010074580.1,baseplate
162,YP_009949226.1,baseplate
163,YP_010065830.1,baseplate
164,YP_010065557.1,baseplate
165,YP_010075727.1,baseplate
166,YP_010106641.1,baseplate
167,YP_010106881.1,baseplate
168,YP_010068680.1,baseplate
169,YP_010071938.1,baseplate
170,YP_010072753.1,baseplate
171,YP_010109790.1,baseplate
172,YP_009966156.1,baseplate
173,YP_010355392.1,baseplate
174,YP_009881903.1,baseplate
175,YP_010099729.1,baseplate
176,YP_009834650.1,baseplate
177,YP_009834884.1,baseplate
178,YP_009850969.1,baseplate
179,YP_009859399.1,baseplate
180,YP_010095667.1,baseplate
181,YP_010095960.1,baseplate
182,YP_006547.1,baseplate
183,YP_009914552.1,baseplate
184,YP_009778991.1,baseplate
185,YP_009779205.1,baseplate
186,YP_009779420.1,baseplate
187,YP_009190763.1,baseplate
188,YP_009288877.1,baseplate
189,YP_010089479.1,baseplate
190,YP_009789850.1,baseplate
191,YP_010090587.1,baseplate
192,YP_010092051.1,baseplate
193,YP_009836939.1,baseplate
194,YP_010072167.1,baseplate
195,YP_010096169.1,baseplate
196,YP_010098496.1,baseplate
197,YP_010100515.1,baseplate
198,YP_009850352.1,baseplate
199,YP_009850386.1,baseplate
200,YP_009883877.1,baseplate
201,YP_009949228.1,baseplate
202,YP_009966645.1,baseplate
203,NP_944082.1,baseplate
204,NP_944088.1,baseplate
205,NP_944091.1,baseplate
206,YP_656367.1,baseplate
207,YP_656369.1,baseplate
208,YP_656370.1,baseplate
209,YP_656404.1,baseplate
210,YP_656406.1,baseplate
211,YP_238868.1,baseplate
212,YP_238870.1,baseplate
213,YP_238871.1,baseplate
214,YP_238905.1,baseplate
215,YP_238906.1,baseplate
216,YP_238907.1,baseplate
217,YP_874163.1,baseplate
218,YP_009140267.1,baseplate
219,YP_009140268.1,baseplate
220,YP_009140305.1,baseplate
221,YP_009140306.1,baseplate
222,YP_009140375.1,baseplate
223,YP_004782355.1,baseplate
224,YP_003579962.1,baseplate
225,YP_003579963.1,baseplate
226,YP_003579966.1,baseplate
227,YP_003580032.1,baseplate
228,YP_003580036.1,baseplate
229,YP_003580038.1,baseplate
230,YP_003580040.1,baseplate
231,YP_009168368.1,baseplate
232,YP_003969104.1,baseplate
233,YP_003969106.1,baseplate
234,YP_003969144.1,baseplate
235,YP_003969145.1,baseplate
236,YP_003969146.1,baseplate
237,YP_003969148.1,baseplate
238,YP_003969150.1,baseplate
239,YP_003969151.1,baseplate
240,YP_003969152.1,baseplate
241,YP_003969155.1,baseplate
242,YP_003969615.1,baseplate
243,YP_003969620.1,baseplate
244,YP_003969626.1,baseplate
245,YP_003969629.1,baseplate
246,YP_007002676.1,baseplate
247,YP_007002716.1,baseplate
248,YP_007002812.1,baseplate
249,YP_008061162.1,baseplate
250,YP_006489154.1,baseplate
251,YP_006489153.1,baseplate
252,YP_009001469.1,baseplate
253,YP_009001470.1,baseplate
254,YP_007004730.1,baseplate
255,YP_009608820.1,baseplate
256,YP_009014727.1,baseplate
257,YP_009017912.1,baseplate
258,YP_004895204.1,baseplate
259,YP_009016600.1,baseplate
260,YP_007008011.1,baseplate
261,YP_007008042.1,baseplate
262,YP_007008122.1,baseplate
263,YP_007348737.1,baseplate
264,YP_007348738.1,baseplate
265,YP_007348741.1,baseplate
266,YP_007348830.1,baseplate
267,YP_007348833.1,baseplate
268,YP_007348835.1,baseplate
269,YP_007348836.1,baseplate
270,YP_007348838.1,baseplate
271,YP_006986370.1,baseplate
272,YP_006986371.1,baseplate
273,YP_006986374.1,baseplate
274,YP_006986466.1,baseplate
275,YP_006986469.1,baseplate
276,YP_006986471.1,baseplate
277,YP_006986472.1,baseplate
278,YP_007006463.1,baseplate
