,accession,label
0,YP_009788086.1,baseplate
1,YP_240178.1,baseplate
2,YP_009831400.1,baseplate
3,YP_009831405.1,baseplate
4,YP_009831120.1,baseplate
5,YP_009831125.1,baseplate
6,YP_009834655.1,baseplate
7,YP_009834889.1,baseplate
8,YP_009835318.1,baseplate
9,YP_009818153.1,baseplate
10,YP_009837662.1,baseplate
11,YP_009889442.1,baseplate
12,YP_009887297.1,baseplate
13,YP_010089022.1,baseplate
14,YP_010092934.1,baseplate
15,YP_010092938.1,baseplate
16,YP_010092947.1,baseplate
17,YP_010095668.1,baseplate
18,YP_010095708.1,baseplate
19,YP_010095753.1,baseplate
20,YP_010095961.1,baseplate
21,YP_010107262.1,baseplate
22,YP_010107271.1,baseplate
23,YP_009798376.1,baseplate
24,YP_009882215.1,baseplate
25,YP_009882258.1,baseplate
26,YP_010067336.1,baseplate
27,NP_046771.1,baseplate
28,YP_010067070.1,baseplate
29,NP_758923.1,baseplate
30,YP_009782919.1,baseplate
31,YP_009782920.1,baseplate
32,YP_009149431.1,baseplate
33,YP_009778994.1,baseplate
34,YP_009779208.1,baseplate
35,YP_009779423.1,baseplate
36,YP_009779636.1,baseplate
37,YP_009779850.1,baseplate
38,YP_009778162.1,baseplate
39,YP_009778449.1,baseplate
40,YP_009778735.1,baseplate
41,YP_009099586.1,baseplate
42,YP_009785002.1,baseplate
43,YP_009785160.1,baseplate
44,YP_009190724.1,baseplate
45,YP_010088651.1,baseplate
46,YP_010088660.1,baseplate
47,YP_010073182.1,baseplate
48,YP_009288836.1,baseplate
49,YP_009786270.1,baseplate
50,YP_010076802.1,baseplate
51,YP_010089468.1,baseplate
52,YP_010089478.1,baseplate
53,YP_009789848.1,baseplate
54,YP_010089998.1,baseplate
55,YP_010090030.1,baseplate
56,YP_010090622.1,baseplate
57,YP_010090338.1,baseplate
58,YP_010092306.1,baseplate
59,YP_010092346.1,baseplate
60,YP_009790848.1,baseplate
61,YP_009618995.1,baseplate
62,YP_009619119.1,baseplate
63,YP_010076386.1,baseplate
