,accession,label
0,YP_009788086.1,baseplate
1,NP_700394.1,baseplate
2,YP_009835318.1,baseplate
3,YP_009818153.1,baseplate
4,YP_009845871.1,baseplate
5,YP_009845957.1,baseplate
6,YP_009849886.1,baseplate
7,YP_009855586.1,baseplate
8,YP_009889442.1,baseplate
9,YP_010092932.1,baseplate
10,YP_010092948.1,baseplate
11,YP_010095668.1,baseplate
12,YP_010095961.1,baseplate
13,YP_010107262.1,baseplate
14,YP_010106722.1,baseplate
15,YP_010106803.1,baseplate
16,YP_009798376.1,baseplate
17,YP_009882215.1,baseplate
18,YP_009850609.1,baseplate
19,YP_010067336.1,baseplate
20,NP_046771.1,baseplate
21,YP_010067070.1,baseplate
22,NP_958070.1,baseplate
23,NP_543104.1,baseplate
24,NP_758923.1,baseplate
25,YP_001111067.1,baseplate
26,YP_004306439.1,baseplate
27,YP_009806274.1,baseplate
28,YP_009149431.1,baseplate
29,YP_009778994.1,baseplate
30,YP_009779204.1,baseplate
31,YP_009779208.1,baseplate
32,YP_009779419.1,baseplate
33,YP_009779423.1,baseplate
34,YP_009779636.1,baseplate
35,YP_009779850.1,baseplate
36,YP_009778162.1,baseplate
37,YP_009778449.1,baseplate
38,YP_009778735.1,baseplate
39,YP_009067098.1,baseplate
40,YP_009324738.1,baseplate
41,YP_009324807.1,baseplate
42,YP_010073182.1,baseplate
43,YP_010076802.1,baseplate
44,YP_010089478.1,baseplate
45,YP_010089480.1,baseplate
46,YP_010089521.1,baseplate
47,YP_009832075.1,baseplate
48,YP_010090027.1,baseplate
49,YP_010090625.1,baseplate
50,YP_010090626.1,baseplate
51,YP_010090335.1,baseplate
52,YP_009790730.1,baseplate
53,YP_009790846.1,baseplate
54,YP_009618995.1,baseplate
55,YP_009619119.1,baseplate
56,YP_010076386.1,baseplate
57,YP_010092006.1,baseplate
58,YP_009836898.1,baseplate
59,YP_009836903.1,baseplate
60,YP_010065248.1,baseplate
61,YP_010069209.1,baseplate
62,YP_009798066.1,baseplate
63,YP_010090903.1,baseplate
64,YP_010094047.1,baseplate
65,YP_010094073.1,baseplate
66,YP_009799530.1,baseplate
67,YP_010095150.1,baseplate
68,YP_010095154.1,baseplate
69,YP_010094501.1,baseplate
70,YP_010066467.1,baseplate
71,YP_010095364.1,baseplate
72,YP_010072200.1,baseplate
73,YP_010071660.1,baseplate
74,YP_010096168.1,baseplate
75,YP_010096255.1,baseplate
76,YP_009880933.1,baseplate
77,YP_009880968.1,baseplate
78,YP_009881503.1,baseplate
79,YP_009881538.1,baseplate
80,YP_009814246.1,baseplate
81,YP_009814417.1,baseplate
82,YP_010077180.1,baseplate
83,YP_010067604.1,baseplate
84,YP_010100473.1,baseplate
85,YP_010100514.1,baseplate
86,YP_009882578.1,baseplate
87,YP_009883077.1,baseplate
88,YP_010068095.1,baseplate
89,YP_009850382.1,baseplate
90,YP_009850387.1,baseplate
91,YP_009850542.1,baseplate
92,YP_010075993.1,baseplate
93,YP_010076275.1,baseplate
94,YP_009883388.1,baseplate
95,YP_009883303.1,baseplate
96,YP_009850033.1,baseplate
97,NP_878213.1,baseplate
98,NP_050649.1,baseplate
99,YP_009887152.1,baseplate
100,YP_009887153.1,baseplate
101,YP_009887187.1,baseplate
102,YP_010077424.1,baseplate
103,YP_010068953.1,baseplate
104,YP_009855904.1,baseplate
105,YP_009856169.1,baseplate
106,YP_010074107.1,baseplate
107,YP_010074390.1,baseplate
108,YP_010074580.1,baseplate
109,YP_010065830.1,baseplate
110,YP_010065557.1,baseplate
111,YP_010075727.1,baseplate
112,YP_010106641.1,baseplate
113,YP_010106881.1,baseplate
114,YP_010107748.1,baseplate
