,accession,label
0,YP_009788086.1,baseplate
1,YP_240178.1,baseplate
2,YP_009966714.1,baseplate
3,YP_009948863.1,baseplate
4,YP_009876391.1,baseplate
5,YP_009877639.1,baseplate
6,YP_009879447.1,baseplate
7,YP_009796307.1,baseplate
8,YP_009796521.1,baseplate
9,YP_009879807.1,baseplate
10,YP_009798832.1,baseplate
11,YP_009837624.1,baseplate
12,YP_009837662.1,baseplate
13,YP_009880602.1,baseplate
14,YP_009881343.1,baseplate
15,YP_009881144.1,baseplate
16,YP_009845871.1,baseplate
17,YP_009845957.1,baseplate
18,YP_009883600.1,baseplate
19,YP_009889912.1,baseplate
20,YP_009883160.1,baseplate
21,YP_009855586.1,baseplate
22,YP_009889482.1,baseplate
23,YP_009888259.1,baseplate
24,YP_009887848.1,baseplate
25,YP_009888662.1,baseplate
26,YP_009888052.1,baseplate
27,YP_009888464.1,baseplate
28,YP_009887665.1,baseplate
29,YP_009889271.1,baseplate
30,YP_009888869.1,baseplate
31,YP_009889074.1,baseplate
32,YP_009887473.1,baseplate
33,YP_010092932.1,baseplate
34,YP_010092934.1,baseplate
35,YP_010092937.1,baseplate
36,YP_010092947.1,baseplate
37,YP_010092948.1,baseplate
38,YP_010095665.1,baseplate
39,YP_010095668.1,baseplate
40,YP_010095958.1,baseplate
41,YP_010095961.1,baseplate
42,YP_009882215.1,baseplate
43,YP_009882219.1,baseplate
44,YP_010067339.1,baseplate
45,NP_758923.1,baseplate
46,YP_001111067.1,baseplate
47,YP_004306439.1,baseplate
48,YP_009149431.1,baseplate
49,YP_009783142.1,baseplate
50,YP_009778162.1,baseplate
51,YP_009778449.1,baseplate
52,YP_009778735.1,baseplate
53,YP_009067098.1,baseplate
54,YP_009967025.1,baseplate
55,YP_010088651.1,baseplate
56,YP_010088660.1,baseplate
57,YP_010073179.1,baseplate
58,YP_009876073.1,baseplate
59,YP_010076805.1,baseplate
60,YP_010089478.1,baseplate
61,YP_010089480.1,baseplate
62,YP_010089520.1,baseplate
63,YP_010133101.1,baseplate
